id,ean,quantity,price,orderId
122,7231704510894,1,16.34,1
159,4181724329890,4,769.11,2
170,8618672074075,1,84.96,3
186,3420044370670,3,661.58,4
136,9848852471963,3,471.78,5
111,3717255024478,4,263.04,6
164,4655118906860,2,48.44,7
103,5390261836589,4,718.93,8
175,7803163600416,3,503.87,9
101,5975518233745,4,118.47,10
130,7308158248579,5,853.47,11
162,7088634530000,2,455.89,12
113,1913443611714,3,415.97,13
112,6854510148952,3,241.6,14
121,4884272506685,1,140.95,15
152,1951028999368,5,434.88,16
165,0450927674804,2,119.25,17
142,5535896592482,4,450.57,18
199,0315072656142,2,204.31,19
130,3741748418982,2,577.75,20
158,1132168912183,2,107.52,21
106,1507788775172,3,857.1,22
102,2529063979092,4,546.6,23
118,8944326126750,1,681.39,24
189,1307130766444,3,100.2,25
190,6401006955294,5,849.47,26
127,2598448825674,5,809.58,27
151,9608256846973,3,900.41,28
114,1910286178117,4,598.48,29
198,1307945310940,1,738.23,30
116,2899777349359,4,385.57,31
108,3588281407031,5,642.77,32
181,6037343604189,5,610.25,33
162,9201338143559,2,971.04,34
114,9365715777939,4,430.99,35
182,8951375060364,3,507.79,36
181,3786806938709,2,150.3,37
119,6403017839612,4,584.06,38
148,2689569483432,4,795.2,39
179,9418933487261,4,765.9,40
191,3516224985282,3,407.78,41
156,1080649486647,3,637.79,42
138,5118855751404,4,696.7,43
114,4847457640495,2,42.23,44
112,3485067671323,2,956.55,45
199,0428305342961,1,537.59,46
137,8830645613239,2,898.76,47
180,6040676873453,4,483.51,48
159,0863535514683,4,592.23,49
109,8012758298458,2,876.76,50
199,1193338352848,5,53.85,51
171,2319876136706,3,915.29,52
159,0920195184518,2,648.09,53
195,6928460662234,5,506.63,54
103,6751059514329,1,224.76,55
195,7869787376771,2,652.82,56
196,3749252634569,2,389.49,57
111,9964044823021,2,680.3,58
111,0209058596700,4,760.56,59
122,5684873898636,2,912.93,60
185,0238615690157,3,952.28,61
101,6391038120816,3,321.49,62
148,4677443337454,1,548.39,63
152,8775141587200,2,579.26,64
109,1648713498023,3,834.17,65
122,3064781020664,5,300.66,66
102,3948906550278,5,849.61,67
189,9451446493218,3,169.29,68
182,5636988989239,2,857.7,69
118,6449670874506,5,397.13,70
168,3965946486164,1,890.31,71
131,9937672851626,5,692.82,72
143,5742646593075,5,389.79,73
163,2404053487594,1,465.21,74
142,6250850557412,3,744.22,75
128,8169006863268,1,860.83,76
192,9133176860073,3,977.33,77
118,5938959374953,4,525.74,78
146,3257216099633,5,565.37,79
161,1701932877229,1,857.5,80
151,5094739014832,4,794.56,81
170,8971983286167,4,541.4,82
191,5212825450848,3,411.65,83
118,4434180933121,2,107.62,84
159,7025816920062,1,963.21,85
176,5040871901670,4,787.9,86
126,7411612436682,3,71.35,87
124,2210054365719,4,861.1,88
109,1690218980273,2,183.57,89
139,4666122549681,2,161.9,90
117,5017091028576,4,340.16,91
140,3136711352698,3,512.91,92
150,0857619280822,5,783.59,93
163,8594260191230,3,905.21,94
137,1164759147688,5,47.2,95
175,4163790792028,2,257.65,96
183,1656575067027,4,983.83,97
119,6219303974005,5,323.4,98
194,6807533700512,2,696.61,99
152,5191512967699,5,92.63,100
