id,ean,quantity,price,orderId
1,3547396038949,5,908.84,1
2,4402125866545,3,724.22,2
3,8089295156836,2,86.94,3
4,4461300354722,3,312.34,4
5,0340324191520,1,767.5,5
6,2440202608804,1,552.5,6
7,4695285773850,1,521.23,7
8,8647214558197,3,346.34,8
9,9910718475502,1,399.91,9
10,5469503892203,5,209.09,10
11,1946326990304,3,614.86,11
12,4592441389200,3,571.16,12
13,5319659648317,1,874.63,13
14,2408262675812,1,246.36,14
15,7588301546542,4,198.51,15
16,9770374377373,4,101.05,16
17,7440093366385,2,184.24,17
18,8663325117569,2,992.12,18
19,7878725542882,1,801.7,19
20,8193124688077,3,859.42,20
21,8705056773479,3,427.43,21
22,0393980351802,1,901.85,22
23,4338537628568,2,802.44,23
24,0086543038536,3,406.48,24
25,9158060695095,5,604.91,25
26,0043156028720,4,141.76,26
27,6421729078623,1,506.21,27
28,9310456996593,3,491.74,28
29,9961178407401,3,655.76,29
30,6310437656056,5,446.18,30
31,4736002204957,5,120.57,31
32,1615287023927,5,561.96,32
33,3235543140790,3,431.19,33
34,0490313372333,2,375.31,34
35,5494732416699,5,522.82,35
36,3837961801314,4,649.73,36
37,5802736325441,2,148.48,37
38,1288534383950,4,866.79,38
39,8338758559685,5,353.32,39
40,8668042013280,5,998.01,40
41,3633203812227,4,291.24,41
42,6186423374891,2,463.47,42
43,5826606718604,3,17.18,43
44,4296959517301,5,464.27,44
45,8029256683995,4,870.46,45
46,0720665993758,1,355.2,46
47,1380567138175,2,278.5,47
48,7009748699291,4,559.83,48
49,2472989633401,5,88.92,49
50,9943195909738,1,288.18,50
51,9653525830644,5,416.4,51
52,7831964999130,1,83.54,52
53,2714201583895,5,839.43,53
54,2867489093277,1,506.89,54
55,4246018108017,2,996.98,55
56,7360136889719,4,293.71,56
57,0239854865372,4,749.45,57
58,9088663576164,2,702.95,58
59,5016863841746,4,172.31,59
60,3781643178340,5,550.45,60
61,6095057317991,3,8.19,61
62,2278596652563,3,294.14,62
63,5635003458256,4,280.12,63
64,5924034127144,5,918.97,64
65,7072546213449,2,590.92,65
66,9414744291136,5,344.4,66
67,9557467161318,5,319.59,67
68,9272855559018,4,155.64,68
69,9459117758032,4,159.14,69
70,2646994879782,1,400.66,70
71,0284273361001,2,719.39,71
72,3534575154485,3,77.55,72
73,4430533619867,3,103.19,73
74,9069829540078,4,570.18,74
75,9073765405166,5,958.73,75
76,7776678892018,4,524.1,76
77,6781745659724,4,655.91,77
78,8818643617149,1,502.82,78
79,7975646681269,5,17.65,79
80,0206813858478,1,546.58,80
81,7605954046800,4,655.01,81
82,0818725300807,2,497.45,82
83,1162983827878,1,516.84,83
84,5363528554308,3,305.12,84
85,6033079507807,2,369.58,85
86,4154169378408,5,908.93,86
87,6944082225389,4,736.89,87
88,0006195605571,1,318.62,88
89,1757303692319,5,363.17,89
90,6258472696862,5,29.55,90
91,8846004653945,5,145.75,91
92,0783786459170,5,720.34,92
93,8569062197278,5,149.89,93
94,4229136835235,2,873.13,94
95,0124731798659,5,619.87,95
96,8317359960646,4,972.53,96
97,6801808570821,5,747.43,97
98,1577155066766,2,583.94,98
99,2082748764799,2,66.6,99
100,4253164499506,2,901.8,100
